WD23CD,WD23NM,WD23NMW,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile,total_Population
E05013082,Chineham, ,2.503,3,3,11377.5,3,2,10967.0
E05013083,Eastrop & Grove, ,4.059,3,3,8965.0,3,2,9429.0
E05013084,Evingar, ,1.705,5,5,19824.0,5,3,9648.0
E05013085,Hatch Warren & Beggarwood, ,3.272,9,9,34409.0,9,5,10211.0
E05013086,Kempshott & Buckskin, ,3.424,3,3,9139.0,3,2,10641.0
E05013087,Norden, ,10.446,4,4,14363.0,4,2,10880.0
E05013088,Oakley & The Candovers, ,1.277,6,6,22581.0,6,3,9570.0
E05013089,Popley, ,9.984,3,3,11377.5,3,2,12052.0
E05013090,Sherborne St John & Rooksdown, ,6.406,5,5,18244.0,5,3,12396.0
E05013091,South Ham, ,9.453,2,2,8272.5,2,1,10766.0
E05013092,Tadley & Pamber, ,3.448,5,5,17869.0,5,3,10784.0
E05013093,"Tadley North, Kingsclere & Baughurst", ,2.612,5,5,17869.0,5,3,11312.0
E05013094,"Whitchurch, Overton & Laverstoke", ,3.913,8,8,32275.5,8,4,10716.0
E05013095,Winklebury & Manydown, ,6.406,4,4,14013.5,4,2,7233.0
E05013096,Barton & Sandhills, ,9.909,2,2,7087.0,2,1,7404.0
E05013097,Blackbird Leys, ,16.963,1,1,4412.0,2,1,6397.0
E05013098,Carfax & Jericho, ,11.125,6,6,23718.0,6,3,7564.0
E05013099,Churchill, ,13.354,3,3,12112.5,3,2,7691.0
E05013100,Cowley, ,10.669,4,4,15527.5,4,2,7617.0
E05013101,Cutteslowe & Sunnymead, ,4.298,4,4,16387.0,4,2,6970.0
E05013102,Donnington, ,9.472,4,4,13246.5,4,2,7270.0
E05013103,Headington, ,3.404,4,4,14682.0,4,2,7316.0
E05013104,Headington Hill & Northway, ,4.453,5,5,18544.0,5,3,6492.0
E05013105,Hinksey Park, ,9.015,4,4,14629.5,4,2,5520.0
E05013106,Holywell, ,12.472,2,2,6811.0,2,1,6821.0
E05013107,Littlemore, ,15.847,2,2,8464.0,3,2,6421.0
E05013108,Lye Valley, ,8.357,5,5,19840.0,5,3,7471.0
E05013109,Marston, ,2.757,7,7,29536.5,8,4,7408.0
E05013110,Northfield Brook, ,13.076,1,1,4412.0,2,1,7037.0
E05013111,Osney & St Thomas, ,11.125,2,2,6811.0,2,1,5890.0
E05013112,Quarry & Risinghurst, ,3.404,3,3,9066.0,3,2,7162.0
E05013113,Rose Hill & Iffley, ,10.105,2,2,5216.0,2,1,6997.0
E05013114,St Clement's, ,16.534,3,3,12700.0,4,2,6142.0
E05013115,St Mary's, ,9.472,4,4,13246.5,4,2,7334.0
E05013116,Summertown, ,4.612,8,8,34077.0,9,5,6654.0
E05013117,Temple Cowley, ,8.357,4,4,15527.5,4,2,6899.0
E05013118,Walton Manor, ,2.575,9,9,36516.5,9,5,5838.0
E05013119,Wolvercote, ,4.923,6,6,25399.5,7,4,4942.0
E05013120,Abbey, ,6.956,4,4,16055.0,4,2,14518.0
E05013121,Amersham and Chesham Bois, ,1.579,7,7,27166.0,7,4,10655.0
